name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
100034_483681,0.8486764590369963,0.08603667136812412,,,,0.6682085260657582,0.0,,0.7464503042596349,,,,,0.8314461339372371,0.752405949256343,,0.589748664159905,0.0,0.48295800365185637,0.002514668901927913
10005_205677,0.8015742642026009,0.8060408646727865,,,,0.002126631222812953,,0.0,,,,,,0.859721082854799,0.6875460574797347,,,,,
100142_449784,0.7381446783851652,,0.5412511332728921,,,0.864736572015053,,,,0.7085101073122037,,,,0.8445195557701594,0.5193842645381984,0.7764054514480409,0.6531531531531531,0.6552511415525114,0.8266148615832929,0.8301617507136061
10014_1211482,0.789906103286385,0.7066557107641742,,,,0.431640625,,0.8766142286921813,,0.7154429507066529,,,,0.7898022892819979,0.7857142857142857,,,,,0.6335078534031413
10024_490664,0.94176110811297,0.7493946731234867,,,,,,0.9526509186351706,,,,,,,,,0.0,0.0,0.11096520026263952,0.11263881544156532
100396_1228208,0.8501374165685119,,0.43514150943396224,,,0.19675334435592964,,,,0.6136498516320474,,,,0.48220218319886093,0.5738477209065445,0.5396323384067998,0.7257092198581561,,,
100409_439507,0.8542713567839196,,0.7667597765363129,,,0.8076407506702413,,,,0.8376036328792235,,,,0.6591078993271866,0.7078196250633338,0.7817715019255456,,,,
100428_475255,0.9234552814481021,,0.781404174573055,,,0.9526006940028705,,,,,,,,0.8783867631851086,0.603376695267091,0.37187585828069214,,,,
100434_223573,0.654074074074074,0.7327935222672065,0.01818181818181818,0.0,,,,0.013169845594913715,,0.5076376554174068,,,,0.499009900990099,,,,,0.0,
100439_194787,0.64195406103131,,0.07821552723059096,,,0.061124694376528114,,,,,,,0.0,0.8686679174484052,0.0,0.06915278783490224,0.006109979633401222,0.0,,
100564_202221,0.7813057463514671,,0.7850578624914908,,,0.011783703574390084,,,,,,,,0.6927380724276682,0.5421474141441563,0.8599410999246627,,,,
100678_1260457,0.9552049940948203,0.0,0.36180904522613067,,,0.9050188882892607,,,,0.9155709342560554,,,,0.6441605839416058,0.7738791423001949,0.7522421524663677,0.04919016196760648,0.001272264631043257,,
