name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
100034_483681,0.9025802455089064,0.9754238252360906,,,,0.9664479589385722,0.9383825741773176,,0.9905184510941707,,,,,0.9934134840267506,0.9856891821848017,,0.9737929988242879,0.9782430057774238,0.9785211312119948,0.9849559424027509
10005_205677,0.8697663971248877,0.9852875112309074,,,,0.7681266846361186,,0.787219227313567,,,,,,0.9923180592991914,0.9904761904761905,,,,,
100142_449784,0.8774714721500395,,0.9942831318495086,,,0.9642639249802282,,,,0.9472150039543554,,,,0.9927239859902836,0.9904756524686477,0.9881369336798101,0.9930403344254887,0.9931759123262908,0.9959665574511355,0.9959665574511355
10014_1211482,0.8994946659180236,0.9874719258843346,,,,0.9897880404267265,,0.9631176305446378,,0.9420620437956204,,,,0.9929112857944975,0.9970522178551375,,,,,0.992630544637844
10024_490664,0.9653140484799786,0.9944556046605062,,,,,,0.9879201821347261,,,,,,,,,0.9611624481049953,0.9695460024106066,0.9637337618856301,0.9550555778759877
100396_1228208,0.8954676160481994,,0.9934410516226209,,,0.9268245926331644,,,,0.9821717102560592,,,,0.9701218677255922,0.954169519375599,0.9681089963028893,0.9788169245515541,,,
100409_439507,0.9145136119299463,,0.995656320443905,,,0.9651638633604994,,,,0.9662042656493844,,,,0.9881394139067106,0.9850008670019074,0.9970521935148258,,,,
100428_475255,0.9637448902072857,,0.9874977390297724,,,0.9811236117642803,,,,,,,,0.9914915168397063,0.989632094924574,0.9834533154867416,,,,
100434_223573,0.7738498789346246,0.9946731234866828,0.9956416464891041,0.9903147699757869,,,,0.8246166263115415,,0.888135593220339,,,,0.9795803066989508,,,,,0.9836158192090395,
100439_194787,0.7750748502994012,,0.9338406520292748,,,0.9520958083832335,,,,,,,0.9020292747837658,0.9970891550232868,0.9878160345974717,0.8930888223552894,0.959414504324684,0.9844893546240852,,
100564_202221,0.861505959793631,,0.9719133606119907,,,0.899292830457214,,,,,,,,0.9643390855719622,0.9849982209571251,0.9909046433019035,,,,
100678_1260457,0.9740557971368544,0.9862217227732447,0.9813846680021499,,,0.9828015830361069,,,,0.9940391850295598,,,,0.990472467875116,0.9943323398641716,0.9892021302584648,0.9225582645233791,0.9232911516099086,,
100798_2205315,0.9571291967700808,,0.9767105822354442,,,0.9553336166595835,,,,,,,,0.994443263918402,0.9411495962600935,0.9650658733531662,0.9054823629409264,0.9374946876328092,,
100909_1208726,0.9477115847534633,0.989486521385643,,0.9893350762805082,0.999410161169475,0.988976390505189,,,,0.9813164565033716,,,,0.9959588069314034,0.9959189529563679,0.991527044907459,,,0.9903553380414163,
100958_427612,0.8413616431000537,,0.9931313764095221,,,0.9892272239126544,,,,0.8910976373724718,,,,0.9928517093252193,0.9941717379631287,0.9925384821908001,,,0.9894397708967245,0.9689345802756398
100985_570554,0.12494106553512493,,,,,,,,,,,,,,,,,,,
