name,Background,Hat,Hair,Glove,Sunglasses,UpperClothes,Dress,Coat,Socks,Pants,Jumpsuits,Scarf,Skirt,Face,Left-arm,Right-arm,Left-leg,Right-leg,Left-shoe,Right-shoe
100034_483681,0.9390652456985373,0.9800381790369275,,,,0.9867384735970468,0.9385216368946031,,0.9903288201160542,,,,,0.9862201489235282,0.9854995512066851,,0.9730850431726527,0.9750445632798574,0.9774844818649575,0.9776361866474508
10005_205677,0.9443396226415094,0.9877358490566037,,,,0.7907457322551662,,0.787219227313567,,,,,,0.9925876010781671,0.9924528301886792,,,,,
100142_449784,0.9130493729522088,,0.996938199073551,,,0.9748164049259971,,,,0.9854931646141679,,,,0.9930403344254887,0.9940345723647046,0.9955937182239295,0.9937634165631002,0.9971754603999549,0.9967800248559485,0.9971076714495537
10014_1211482,0.9425884334643458,0.989963503649635,,,,0.9884896125772038,,0.9826642335766423,,0.9600294778214487,,,,0.9931569343065694,0.9955432341381246,,,,,0.99399915777653
10024_490664,0.9687960358912548,0.9950716485871166,,,,,,0.9891522699879469,,,,,,,,,0.9611624481049953,0.9695460024106066,0.9661443685549752,0.9653944020356234
100396_1228208,0.9177872107353142,,0.9984116116664384,,,0.9567848829248254,,,,0.9844173627276461,,,,0.9933999726139943,0.9579761741749966,0.9716280980419005,0.9280706558948377,,,
100409_439507,0.9730882607941738,,0.9969654933240854,,,0.9889023755852263,,,,0.9879226634298596,,,,0.9925437835963239,0.9954135599098318,0.9974250043350096,,,,
100428_475255,0.974387729262381,,0.9867959338711428,,,0.9913685200593279,,,,,,,,0.9921499113699671,0.9951524798321456,0.9984444524834497,,,,
100434_223573,0.7759483454398709,0.9947538337368845,0.9943502824858758,0.9903147699757869,,,,0.8222760290556901,,0.9033091202582728,,,,0.9878127522195319,,,,,0.9824051654560129,
100439_194787,0.742598137059215,,0.9320941450432468,,,0.9593729208250167,,,,,,,0.9020292747837658,0.9973802395209581,0.9888140385894877,0.8906769793745841,0.9686460412508316,0.9844893546240852,,
100564_202221,0.950827254936844,,0.9681417897171322,,,0.9034780288204945,,,,,,,,0.9911759473403309,0.9936577121508628,0.9938534068671055,,,,
100678_1260457,0.9755704304490155,0.985684272243123,0.9854399765476133,,,0.9843162163482679,,,,0.9935017344994381,,,,0.9912053549616455,0.9954561000635169,0.9957003957590267,0.9927688474129086,0.9925734108565007,,
100798_2205315,0.9573948151296218,,0.9772949426264343,,,0.9558223544411389,,,,,,,,0.9957394815129622,0.9544836379090522,0.9817042073948151,0.9054823629409264,0.9374946876328092,,
100909_1208726,0.9575475457922173,0.9866967431331601,,0.9858837220424365,0.9994420443495035,0.9923639783832039,,,,0.9828548199397408,,,,0.9995058107095601,0.9992905992443686,0.9954646176409635,,,0.9901959221412744,
100958_427612,0.9597503132271344,,0.9938361374619653,,,0.9922811884732414,,,,0.9807812779667084,,,,0.9928181492751029,0.9876722749239305,0.9923930553069626,,,0.9877058349740468,0.9853342580991588
100985_570554,0.9216171617161716,,,,,,,,,,,,,,,,,,,
101070_472538,0.8531223449447749,0.9826040781648259,,0.9705395072217502,,0.9710917587085811,,,,0.9517417162276975,,,,0.9893160577740017,0.9868521665250637,0.9834536958368734,0.9889974511469839,0.9675446049277825,0.9839634664401019,0.9711554800339847
101211_480925,0.9426922717503037,,0.9972354608603557,,,0.9826106594399278,,,,,,,,0.986878173379435,0.9124926019375136,0.9090583434569978,,,,
10123_2152925,0.9752905633552514,,0.9956068953261062,,,0.9914696996623423,,,,,,,0.9094437533321486,0.9873680469166518,0.9964030566909543,0.9956353296605651,0.9975759729873822,0.9982086369290919,,
101354_2152170,0.97964705284036,,0.9897574123989218,,,0.9915780908304939,,,,0.9910898642119718,,,,0.9977521232772212,0.9979758938107105,0.9982810354472867,0.9987997762294665,,0.9965518995066877,0.9982912068351727
101369_553747,0.9281127129750983,,0.9921363040629095,,,0.9800917431192661,,,,,,,,0.9849017038007863,0.9969462647444299,0.9946788990825688,0.8979816513761468,0.9421887287024902,,
10142_469874,0.9644702842377261,0.9958656330749354,,0.9914728682170543,,,,0.9878983634797588,,0.9811800172265288,,,,0.9966838931955211,,,,,0.9849267872523686,0.9855297157622739
101552_484020,0.8909882056567044,,0.9623840604603229,,,,,0.8559200732852399,,,,,,,,0.9605805565097905,,,,
101575_1253774,0.8441639813820265,,0.9876476906552094,,,,,0.9204260651629073,,,,,,0.9889008234872897,,,,0.8204439670605084,,
10176_451458,0.7956898014593585,,0.9960405000282821,,,,,0.7430850161208213,,0.900673114995192,,,,0.9832569715481645,0.9152101363199276,,,,,
101820_436403,0.9815555555555555,,0.9961234567901235,,,0.9948765432098765,,,,,,,0.9683827160493828,0.9984074074074074,0.9914691358024691,0.9894444444444445,0.972716049382716,0.9749506172839506,0.9798395061728395,0.9777530864197531
101842_523209,0.9560257981983903,,0.9965886679814508,,,0.9845424017909493,,,0.9875806193699697,0.9859282554234848,,,,0.9929108256489526,,0.9950429081605459,0.9914183678908374,0.9934971483396408,0.9880070358722882,0.9861414636746442
101877_480032,0.9154345654345655,,0.9942307692307693,,,0.9472027972027972,,,,,,,,0.9786713286713287,0.987962037962038,0.9878121878121878,,,,
101960_1739095,0.9408895502645502,0.9938822751322751,0.9917741402116402,,,0.9644510582010583,,,,,,,,0.9781746031746031,0.9759837962962963,0.9928075396825397,0.9603174603174603,0.9751984126984127,0.984540343915344,0.9806134259259259
101978_438710,0.967051825516204,,0.9906809790783536,,,,,0.6715438260631752,,0.9814645152468208,,,,0.9927389580199645,0.9750239299876932,0.9714275946943799,,,,
